data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2023-07-21T17:00:00,ITA,701,18,719,111521,112240,251,545,25605662,190996,,,25908898,274138152,69104016,,0,,,9797404,16111494,102036744,172101408
2023-07-22T17:00:00,ITA,708,20,728,111409,112137,-103,563,25606322,191002,,,25909461,274155134,69107431,,4,,,9797519,16111942,102039939,172115195
2023-07-23T17:00:00,ITA,720,19,739,111405,112144,7,373,25606687,191003,,,25909834,274171070,69110695,,2,,,9797568,16112266,102042860,172128210
2023-07-24T17:00:00,ITA,721,21,742,111293,112035,-109,231,25607026,191004,,,25910065,274179830,69112705,,2,,,9797600,16112465,102044468,172135362
2023-07-25T17:00:00,ITA,719,22,741,111717,112458,423,1010,25607609,191008,,,25911075,274211071,69118466,,5,,,9797795,16113280,102049895,172161176
2023-07-26T17:00:00,ITA,710,22,732,112077,112809,351,718,25607974,191009,,,25911792,274235663,69123127,,4,,,9797936,16113856,102054654,172181009
2023-07-27T17:00:00,ITA,717,23,740,112059,112799,-10,689,25608670,191012,,,25912481,274257844,69126762,,2,,,9798076,16114405,102058491,172199353
2023-07-28T17:00:00,ITA,734,23,757,112313,113070,271,706,25609100,191017,,,25913187,274276685,69129955,,3,,,9798225,16114962,102061836,172214849
2023-07-29T17:00:00,ITA,733,20,753,112458,113211,141,655,25609612,191019,,,25913842,274292273,69132508,,0,,,9798313,16115529,102064695,172227578
2023-07-30T17:00:00,ITA,744,20,764,112616,113380,169,553,25609995,191020,,,25914395,274305748,69134888,,1,,,9798400,16115995,102067496,172238252
2023-07-31T17:00:00,ITA,772,23,795,112599,113394,14,276,25610255,191022,,,25914671,274313616,69136560,,3,,,9798428,16116243,102068867,172244749
2023-08-01T17:00:00,ITA,790,22,812,112887,113699,305,1395,25611336,191031,,,25916066,274342689,69141464,,3,,,9798693,16117373,102073802,172268887
2023-08-02T17:00:00,ITA,815,24,839,113374,114213,514,1054,25611904,191044,,,25917161,274373971,69147648,,4,,,9798854,16118307,102078635,172295336
2023-08-03T17:00:00,ITA,819,23,842,113642,114484,271,1093,25612716,191053,,,25918253,274396076,69152762,,1,,,9799013,16119240,102082624,172313452
2023-08-04T17:00:00,ITA,847,22,869,113995,114864,380,983,25613309,191063,,,25919236,274414469,69156127,,2,,,10368805,15550431,102085696,172328773
2023-08-05T17:00:00,ITA,843,23,866,114541,115407,543,959,25613719,191068,,,25920194,274431027,69158896,,5,,,10368917,15551277,102088655,172342372
2023-08-06T17:00:00,ITA,851,22,873,114596,115469,62,524,25614179,191070,,,25920718,274442435,69161026,,0,,,10369054,15551664,102090933,172351502
2023-08-07T17:00:00,ITA,863,22,885,114495,115380,-89,421,25614678,191081,,,25921139,274451329,69163144,,1,,,10369157,15551982,102092732,172358597
2023-08-08T17:00:00,ITA,880,23,903,114578,115481,101,1269,25615823,191104,,,25922408,274473867,69166615,,3,,,10369319,15553089,102097193,172376674
2023-08-09T17:00:00,ITA,896,20,916,114795,115711,230,941,25616527,191111,,,25923349,274493230,69169765,,1,,,10369509,15553840,102100947,172392283
2023-08-10T17:00:00,ITA,893,21,914,114673,115587,-124,959,25617603,191118,,,25924308,274511572,69172782,,3,,,10369652,15554656,102103853,172407719
2023-08-11T17:00:00,ITA,922,19,941,114876,115817,230,940,25618311,191135,,,25925263,274527976,69176236,,1,,,9800452,16124811,102107257,172420719
2023-08-12T17:00:00,ITA,931,23,954,115156,116110,293,1002,25619011,191144,,,25926265,274542270,69178482,,4,,,9800636,16125629,102109606,172432664
2023-08-13T17:00:00,ITA,926,24,950,115254,116204,94,689,25619603,191147,,,25926954,274552119,69180608,,2,,,9800757,16126197,102111706,172440413
2023-08-14T17:00:00,ITA,950,26,976,114530,115506,-698,475,25620767,191156,,,25927429,274558992,69182070,,4,,,9800834,16126595,102112959,172446033
2023-08-15T17:00:00,ITA,959,29,988,114403,115391,-115,1421,25622297,191162,,,25928850,274577525,69185120,,7,,,9801082,16127768,102116701,172460824
2023-08-16T17:00:00,ITA,953,29,982,114241,115223,-168,433,25622848,191167,,,25929238,274584632,69186908,,1,,,9801133,16128105,102117954,172466678
2023-08-17T17:00:00,ITA,1000,34,1034,114595,115629,406,1695,25624128,191175,,,25930932,274605495,69190145,,9,,,9801479,16129453,102122174,172483321
2023-08-18T17:00:00,ITA,1036,34,1070,115093,116163,534,1433,25625022,191180,,,25932365,274623282,69193228,,7,,,9801683,16130682,102125401,172497881
2023-08-19T17:00:00,ITA,1105,38,1143,115811,116954,791,1591,25625820,191182,,,25933956,274638086,69195853,,7,,,9801985,16131971,102127928,172510158
2023-08-20T17:00:00,ITA,1119,41,1160,116317,117477,523,1256,25626549,191186,,,25935212,274650489,69198005,,6,,,9802187,16133025,102130204,172520285
2023-08-21T17:00:00,ITA,1156,44,1200,116404,117604,127,635,25627054,191189,,,25935847,274658693,69199956,,3,,,9802274,16133573,102131636,172527057
2023-08-22T17:00:00,ITA,1217,47,1264,117562,118826,1222,2794,25628614,191200,,,25938640,274686307,69203948,,10,,,9802830,16135810,102136416,172549891
2023-08-23T17:00:00,ITA,1272,44,1316,118437,119753,927,2202,25629876,191211,,,25940840,274710847,69208497,,2,,,9803181,16137659,102140557,172570290
2023-08-24T17:00:00,ITA,1350,49,1399,119006,120405,652,1938,25631154,191219,,,25942778,274734449,69212123,,11,,,9803598,16139180,102144371,172590078
2023-08-25T17:00:00,ITA,1401,43,1444,119342,120786,381,2158,25632917,191233,,,25944936,274751928,69215286,,2,,,9803963,16140973,102147252,172604676
2023-08-26T17:00:00,ITA,1416,50,1466,120307,121773,987,1969,25633894,191237,,,25946904,274772079,69218616,,9,,,9804271,16142633,102149885,172622194
2023-08-27T17:00:00,ITA,1423,45,1468,120711,122179,406,1486,25634963,191247,,,25948389,274785932,69221050,,2,,,9804476,16143913,102152519,172633413
2023-08-28T17:00:00,ITA,1474,47,1521,120539,122060,-119,867,25635943,191253,,,25949256,274795553,69223183,,7,,,9804649,16144607,102153910,172641643
2023-08-29T17:00:00,ITA,1563,48,1611,121643,123254,1194,3745,25638480,191266,,,25953000,274826210,69227808,,9,,,9805404,16147596,102159128,172667082
2023-08-30T17:00:00,ITA,1659,39,1698,122737,124435,1181,2703,25639992,191276,,,25955703,274852965,69231889,,3,,,9805829,16149874,102163131,172689834
2023-08-31T17:00:00,ITA,1647,41,1688,122452,124140,-295,2851,25643118,191292,,,25958550,274877402,69235556,,8,,,9806409,16152141,102166524,172710878
2023-09-01T17:00:00,ITA,1663,37,1700,123602,125302,1162,2710,25644649,191308,,,25961259,274899662,69239232,,3,,,9806892,16154367,102169938,172729724
2023-09-02T17:00:00,ITA,1638,42,1680,125476,127156,1854,2758,25645543,191318,,,25964017,274923424,69242964,,9,,,9807356,16156661,102174118,172749306
2023-09-03T17:00:00,ITA,1668,48,1716,126064,127780,624,2125,25647037,191324,,,25966141,274941015,69245650,,9,,,9807613,16158528,102176901,172764114
2023-09-04T17:00:00,ITA,1718,52,1770,126041,127811,31,1203,25648196,191337,,,25967344,274949999,69247557,,8,,,9807785,16159559,102179414,172770585
2023-09-05T17:00:00,ITA,1799,52,1851,128559,130410,2599,5547,25651131,191349,,,25972890,274990701,69252312,,8,,,9808857,16164033,102184551,172806150
2023-09-06T17:00:00,ITA,1872,49,1921,130212,132133,1723,4122,25653509,191370,,,25977012,275021669,69257984,,10,,,9809453,16167559,102189260,172832409
2023-09-07T17:00:00,ITA,1991,60,2051,131656,133707,1574,3975,25655888,191391,,,25980986,275051083,69262289,,13,,,9810146,16170840,102193566,172857517
2023-09-08T17:00:00,ITA,2068,65,2133,133252,135385,1678,3926,25658126,191401,,,25984912,275080509,69267234,,12,,,9810815,16174097,102197158,172883351
2023-09-09T17:00:00,ITA,2146,69,2215,135342,137557,2172,3835,25659783,191407,,,25988747,275105215,69270817,,9,,,9811433,16177314,102200529,172904686
2023-09-10T17:00:00,ITA,2189,69,2258,136146,138404,847,3066,25661994,191415,,,25991813,275127348,69274087,,5,,,9811770,16180043,102203436,172923912
2023-09-11T17:00:00,ITA,2269,75,2344,135641,137985,-419,1548,25663947,191429,,,25993361,275141541,69276342,,12,,,9811971,16181390,102205089,172936452
2023-09-12T17:00:00,ITA,2339,72,2411,138827,141238,3253,8510,25669186,191447,,,26001871,275188441,69282442,,5,,,9813629,16188242,102211500,172976941
2023-09-13T17:00:00,ITA,2378,76,2454,141590,144044,2806,5918,25672276,191469,,,26007789,275228417,69288596,,9,,,9814282,16193507,102216194,173012223
2023-09-14T17:00:00,ITA,2431,79,2510,142295,144805,761,5574,25677075,191483,,,26013363,275265671,69293950,,11,,,9815070,16198293,102221095,173044576
2023-09-15T17:00:00,ITA,2506,82,2588,145343,147931,3126,5083,25679012,191503,,,26018446,275299340,69298634,,13,,,9815693,16202753,102225241,173074099
2023-09-16T17:00:00,ITA,2530,92,2622,147375,149997,2066,5028,25681961,191516,,,26023474,275332185,69303269,,18,,,9816335,16207139,102229208,173102977
2023-09-17T17:00:00,ITA,2531,88,2619,147742,150361,364,3644,25685217,191521,,,26027099,275354525,69306439,,2,,,9816764,16210335,102232066,173122459
2023-09-18T17:00:00,ITA,2577,88,2665,146894,149559,-802,1758,25687759,191539,,,26028857,275366700,69308890,,8,,,9817036,16211821,102233881,173132819
2023-09-19T17:00:00,ITA,2541,87,2628,148355,150983,1424,8708,25695015,191566,,,26037564,275419720,69315435,,7,,,9818642,16218922,102239787,173179933
2023-09-20T17:00:00,ITA,2533,91,2624,150672,153296,2313,6307,25698988,191586,,,26043870,275461081,69321202,,11,,,9819119,16224751,102244925,173216156
2023-09-21T17:00:00,ITA,2583,84,2667,151451,154118,822,6078,25704212,191618,,,26049948,275502417,69326750,,9,,,9819999,16229949,102249742,173252675
2023-09-22T17:00:00,ITA,2627,86,2713,153707,156420,2302,5634,25707523,191638,,,26055581,275536431,69331675,,10,,,9820812,16234769,102253935,173282496
2023-09-23T17:00:00,ITA,2601,86,2687,156897,159584,3164,5417,25709764,191650,,,26060998,275568211,69335821,,4,,,9821416,16239582,102257581,173310630
2023-09-24T17:00:00,ITA,2650,79,2729,157690,160419,835,4473,25713396,191656,,,26065471,275598509,69340008,,2,,,9821800,16243671,102260818,173337691
2023-09-25T17:00:00,ITA,2666,81,2747,157079,159826,-593,1874,25715856,191664,,,26067346,275610998,69342246,,6,,,9822728,16244618,102262107,173348891
2023-09-26T17:00:00,ITA,2699,84,2783,154127,156910,-2916,8834,25727586,191684,,,26076180,275667081,69348867,,15,,,9824179,16252001,102268412,173398669
2023-09-27T17:00:00,ITA,2734,82,2816,151329,154145,-2765,6465,25736785,191715,,,26082645,275712241,69355506,,8,,,9825094,16257551,102272941,173439300
2023-09-28T17:00:00,ITA,2721,81,2802,149694,152496,-1649,6657,25745073,191732,,,26089301,275756324,69361752,,10,,,9826488,16262813,102278541,173477783
2023-09-29T17:00:00,ITA,2828,80,2908,152205,155113,2617,6594,25749024,191758,,,26095895,275796953,69367449,,11,,,9826956,16268939,102282878,173514075
2023-09-30T17:00:00,ITA,2856,83,2939,153430,156369,1256,4906,25752651,191780,,,26100800,275828044,69371222,,11,,,9827677,16273123,102289790,173538254
2023-10-01T17:00:00,ITA,2874,83,2957,155117,158074,1705,5293,25756239,191791,,,26106104,275857914,69375236,,11,,,9828129,16277975,102296075,173561839
2023-10-02T17:00:00,ITA,2938,88,3026,154146,157172,-902,1968,25759090,191813,,,26108075,275872132,69378027,,15,,,9828335,16279740,102297801,173574331
2023-10-03T17:00:00,ITA,3083,94,3177,157196,160373,3201,11366,25767227,191838,,,26119438,275934414,69385127,,19,,,9830311,16289127,102304171,173630243
2023-10-04T17:00:00,ITA,3136,94,3230,157497,160727,354,7355,25774213,191852,,,26126792,275982989,69391616,,10,,,9831253,16295539,102310089,173672900
2023-10-05T17:00:00,ITA,3193,92,3285,159200,162485,1758,6968,25779392,191880,,,26133757,276031506,69397438,,9,,,9832696,16301061,102314820,173716686
2023-10-06T17:00:00,ITA,3314,88,3402,161199,164601,2116,6576,25783825,191906,,,26140332,276067936,69402084,,19,,,9833369,16306963,102318757,173749179
2023-10-07T17:00:00,ITA,3348,101,3449,163957,167406,2805,6116,25787108,191934,,,26146448,276110815,69406873,,17,,,9834272,16312176,102322968,173787847
2023-10-08T17:00:00,ITA,3380,107,3487,163542,167029,-377,3978,25791456,191940,,,26150425,276137132,69410258,,14,,,9834622,16315803,102325887,173811245
