data,stato,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,note,ingressi_terapia_intensiva,note_test,note_casi,totale_positivi_test_molecolare,totale_positivi_test_antigenico_rapido,tamponi_test_molecolare,tamponi_test_antigenico_rapido
2023-08-17T17:00:00,ITA,1000,34,1034,114595,115629,406,1695,25624128,191175,,,25930932,274605495,69190145,,9,,,9801479,16129453,102122174,172483321
2023-08-18T17:00:00,ITA,1036,34,1070,115093,116163,534,1433,25625022,191180,,,25932365,274623282,69193228,,7,,,9801683,16130682,102125401,172497881
2023-08-19T17:00:00,ITA,1105,38,1143,115811,116954,791,1591,25625820,191182,,,25933956,274638086,69195853,,7,,,9801985,16131971,102127928,172510158
2023-08-20T17:00:00,ITA,1119,41,1160,116317,117477,523,1256,25626549,191186,,,25935212,274650489,69198005,,6,,,9802187,16133025,102130204,172520285
2023-08-21T17:00:00,ITA,1156,44,1200,116404,117604,127,635,25627054,191189,,,25935847,274658693,69199956,,3,,,9802274,16133573,102131636,172527057
2023-08-22T17:00:00,ITA,1217,47,1264,117562,118826,1222,2794,25628614,191200,,,25938640,274686307,69203948,,10,,,9802830,16135810,102136416,172549891
2023-08-23T17:00:00,ITA,1272,44,1316,118437,119753,927,2202,25629876,191211,,,25940840,274710847,69208497,,2,,,9803181,16137659,102140557,172570290
2023-08-24T17:00:00,ITA,1350,49,1399,119006,120405,652,1938,25631154,191219,,,25942778,274734449,69212123,,11,,,9803598,16139180,102144371,172590078
2023-08-25T17:00:00,ITA,1401,43,1444,119342,120786,381,2158,25632917,191233,,,25944936,274751928,69215286,,2,,,9803963,16140973,102147252,172604676
2023-08-26T17:00:00,ITA,1416,50,1466,120307,121773,987,1969,25633894,191237,,,25946904,274772079,69218616,,9,,,9804271,16142633,102149885,172622194
2023-08-27T17:00:00,ITA,1423,45,1468,120711,122179,406,1486,25634963,191247,,,25948389,274785932,69221050,,2,,,9804476,16143913,102152519,172633413
2023-08-28T17:00:00,ITA,1474,47,1521,120539,122060,-119,867,25635943,191253,,,25949256,274795553,69223183,,7,,,9804649,16144607,102153910,172641643
2023-08-29T17:00:00,ITA,1563,48,1611,121643,123254,1194,3745,25638480,191266,,,25953000,274826210,69227808,,9,,,9805404,16147596,102159128,172667082
2023-08-30T17:00:00,ITA,1659,39,1698,122737,124435,1181,2703,25639992,191276,,,25955703,274852965,69231889,,3,,,9805829,16149874,102163131,172689834
2023-08-31T17:00:00,ITA,1647,41,1688,122452,124140,-295,2851,25643118,191292,,,25958550,274877402,69235556,,8,,,9806409,16152141,102166524,172710878
2023-09-01T17:00:00,ITA,1663,37,1700,123602,125302,1162,2710,25644649,191308,,,25961259,274899662,69239232,,3,,,9806892,16154367,102169938,172729724
2023-09-02T17:00:00,ITA,1638,42,1680,125476,127156,1854,2758,25645543,191318,,,25964017,274923424,69242964,,9,,,9807356,16156661,102174118,172749306
2023-09-03T17:00:00,ITA,1668,48,1716,126064,127780,624,2125,25647037,191324,,,25966141,274941015,69245650,,9,,,9807613,16158528,102176901,172764114
2023-09-04T17:00:00,ITA,1718,52,1770,126041,127811,31,1203,25648196,191337,,,25967344,274949999,69247557,,8,,,9807785,16159559,102179414,172770585
2023-09-05T17:00:00,ITA,1799,52,1851,128559,130410,2599,5547,25651131,191349,,,25972890,274990701,69252312,,8,,,9808857,16164033,102184551,172806150
2023-09-06T17:00:00,ITA,1872,49,1921,130212,132133,1723,4122,25653509,191370,,,25977012,275021669,69257984,,10,,,9809453,16167559,102189260,172832409
2023-09-07T17:00:00,ITA,1991,60,2051,131656,133707,1574,3975,25655888,191391,,,25980986,275051083,69262289,,13,,,9810146,16170840,102193566,172857517
2023-09-08T17:00:00,ITA,2068,65,2133,133252,135385,1678,3926,25658126,191401,,,25984912,275080509,69267234,,12,,,9810815,16174097,102197158,172883351
2023-09-09T17:00:00,ITA,2146,69,2215,135342,137557,2172,3835,25659783,191407,,,25988747,275105215,69270817,,9,,,9811433,16177314,102200529,172904686
2023-09-10T17:00:00,ITA,2189,69,2258,136146,138404,847,3066,25661994,191415,,,25991813,275127348,69274087,,5,,,9811770,16180043,102203436,172923912
2023-09-11T17:00:00,ITA,2269,75,2344,135641,137985,-419,1548,25663947,191429,,,25993361,275141541,69276342,,12,,,9811971,16181390,102205089,172936452
2023-09-12T17:00:00,ITA,2339,72,2411,138827,141238,3253,8510,25669186,191447,,,26001871,275188441,69282442,,5,,,9813629,16188242,102211500,172976941
2023-09-13T17:00:00,ITA,2378,76,2454,141590,144044,2806,5918,25672276,191469,,,26007789,275228417,69288596,,9,,,9814282,16193507,102216194,173012223
2023-09-14T17:00:00,ITA,2431,79,2510,142295,144805,761,5574,25677075,191483,,,26013363,275265671,69293950,,11,,,9815070,16198293,102221095,173044576
2023-09-15T17:00:00,ITA,2506,82,2588,145343,147931,3126,5083,25679012,191503,,,26018446,275299340,69298634,,13,,,9815693,16202753,102225241,173074099
2023-09-16T17:00:00,ITA,2530,92,2622,147375,149997,2066,5028,25681961,191516,,,26023474,275332185,69303269,,18,,,9816335,16207139,102229208,173102977
2023-09-17T17:00:00,ITA,2531,88,2619,147742,150361,364,3644,25685217,191521,,,26027099,275354525,69306439,,2,,,9816764,16210335,102232066,173122459
2023-09-18T17:00:00,ITA,2577,88,2665,146894,149559,-802,1758,25687759,191539,,,26028857,275366700,69308890,,8,,,9817036,16211821,102233881,173132819
2023-09-19T17:00:00,ITA,2541,87,2628,148355,150983,1424,8708,25695015,191566,,,26037564,275419720,69315435,,7,,,9818642,16218922,102239787,173179933
2023-09-20T17:00:00,ITA,2533,91,2624,150672,153296,2313,6307,25698988,191586,,,26043870,275461081,69321202,,11,,,9819119,16224751,102244925,173216156
2023-09-21T17:00:00,ITA,2583,84,2667,151451,154118,822,6078,25704212,191618,,,26049948,275502417,69326750,,9,,,9819999,16229949,102249742,173252675
2023-09-22T17:00:00,ITA,2627,86,2713,153707,156420,2302,5634,25707523,191638,,,26055581,275536431,69331675,,10,,,9820812,16234769,102253935,173282496
2023-09-23T17:00:00,ITA,2601,86,2687,156897,159584,3164,5417,25709764,191650,,,26060998,275568211,69335821,,4,,,9821416,16239582,102257581,173310630
